0001	Pat Robertson	Mr. President, I am so glad to see you.
0002	Pat Robertson	I'm so proud of everything you're doing.
0003	Donald Trump	Thank you.
0004	Pat Robertson	Let me ask you.
0005	Pat Robertson	You have just gotten back from the G20.
0006	Pat Robertson	You were traveling around the world.
0007	Pat Robertson	What do you see as the major problem facing the world today?
0008	Pat Robertson	What's the major issue?
0009	Donald Trump	Well we have many problems.
0010	Donald Trump	And I was left a very, very tough meal.
0011	Donald Trump	I will say that.
0012	Donald Trump	It was a mess.
0013	Donald Trump	And I think we're doing very well.
0014	Donald Trump	But North Korea certainly is a big problem.
0015	Donald Trump	The Middle East is a total mess.
0016	Donald Trump	Other than in five months we have done more against ISIS than anybody has done since the beginning.
0017	Donald Trump	And we're having tremendous success with that.
0018	Donald Trump	But I would have to say, Middle East is a tough situation.
0019	Donald Trump	But we're getting it straightened out.
0020	Donald Trump	And ultimately, we want to start investing money back in the United States at our home.
0021	Donald Trump	Yeah.
0022	Donald Trump	But we have to get rid of ISIS.
0023	Donald Trump	We have to get rid of the terrorists, as you know better than anybody.
0024	Donald Trump	And the other is North Korea.
0025	Donald Trump	We have somebody that is  we will find out what he is.
0026	Donald Trump	We're going to find out.
0027	Pat Robertson	He has launched intercontinental missiles.
0028	Pat Robertson	Is there a possibility that we might want to knock some of those down on the launch pad or right after launch?
0029	Donald Trump	Well, we wouldn't want to be speaking about anything.
0030	Donald Trump	But we're looking at lots of different ways.
0031	Donald Trump	We're working with other countries, including China.
0032	Donald Trump	I think China would like to see this problem go away.
0033	Donald Trump	It's a big problem for them.
0034	Donald Trump	And, you know, the advantage we have is trade.
0035	Donald Trump	We have big trade with China.
0036	Donald Trump	And I have a very good relationship with President Xi, who I like a lot.
0037	Donald Trump	And I think he likes me.
0038	Donald Trump	We were just spending a lot of time together.
0039	Donald Trump	And they are very strong with regard to, as you know, with regard to North Korea.
0040	Pat Robertson	Will they get tough with North Korea?
0041	Pat Robertson	I know that you were so close when he was there visiting MaraLago.
0042	Donald Trump	Well, we're going to see.
0043	Donald Trump	We're going to see.
0044	Donald Trump	I would say that we had a good chance.
0045	Donald Trump	They had an election where President Moon got elected to South Korea.
0046	Donald Trump	He has a much different attitude  or a much different take  on how to handle this situation than his predecessor in South Korea.
0047	Donald Trump	He's perhaps softer on the issue, but maybe not, because I like him a lot.
0048	Donald Trump	I think he's going to be a strong person.
0049	Donald Trump	I think he's got strong views  stronger than people would understand.
0050	Donald Trump	So we'll see how it all works out.
0051	Donald Trump	I think China wants to help us.
0052	Donald Trump	We're going to find out whether or not they do.
0053	Donald Trump	But China would, in my opinion, like to be able to help us.
0054	Pat Robertson	What's our leverage with them?
0055	Donald Trump	Well, our leverage with China is that China makes hundreds of billions of dollars a year with us on trade.
0056	Donald Trump	And I want to renegotiate trade deals.
0057	Donald Trump	But I would certainly be a lot easier in a trade deal if they were going to help us with North Korea than if they weren't.
0058	Donald Trump	So we're going to see.
0059	Donald Trump	The relationship is very good with China.
0060	Donald Trump	It's very good with the president of China, who's a terrific person.
0061	Donald Trump	We will find out whether or not they want to help.
0062	Donald Trump	And maybe they do.
0063	Donald Trump	And maybe they don't.
0064	Pat Robertson	What about that consortium of Arab nations that went against Qatar.
0065	Pat Robertson	Your secretary of state was not too favorable to what was being done.
0066	Pat Robertson	How are we going to handle that one?
0067	Donald Trump	Well, Rex is doing a terrific job.
0068	Donald Trump	But he and I had a little bit of a difference, only in terms of tone.
0069	Donald Trump	So we went to Saudi Arabia.
