0001	Sean Spicer	Morning.
0002	Sean Spicer	Thanks for being here.
0003	Sean Spicer	We are now nine away from the inauguration of the next president and vice president of the United States.
0004	Sean Spicer	It's an opportunity to be here today to allow the presidentelect to take your questions.
0005	Sean Spicer	After the presidentelect makes some remarks, he will introduce Ms. Sheri Dillon, a prominent attorney in Washington, D.C., with the prestigious firm of Morgan Lewis who will  who structured the agreements pursuant to the president's business arrangements and she will give brief remarks.
0006	Sean Spicer	Before we start, I want to bring your attention to a few points on the report that was published in BuzzFeed last night.
0007	Sean Spicer	It's frankly outrageous and highly irresponsible for a leftwing blog that was openly hostile to the presidentelect's campaign to drop highly salacious and flatout false information on the internet just days before he takes the oath of office.
0008	Sean Spicer	According to BuzzFeed's own editor, there are some serious reasons to doubt the allegations in the report.
0009	Sean Spicer	The executive editor of The New York Times also dismissed the report by saying it was, quote, "Totally unsubstantiated, echoing the concerns that many other reporters expressed on the internet."
0010	Sean Spicer	The fact that BuzzFeed and CNN made the decision to run with this unsubstantiated claim is a sad and pathetic attempt to get clicks.
0011	Sean Spicer	The report is not an intelligence report, plain and simple.
0012	Sean Spicer	One issue that the report talked about was the relationship of three individuals associated with the campaign.
0013	Sean Spicer	These three individuals Paul Manafort, Michael Cohen and Carter Page.
0014	Sean Spicer	Carter Page is an individual who the presidentelect does not know and was put on notice months ago by the campaign.
0015	Sean Spicer	Paul Manafort has adamantly denied any of this involvement and Michael Cohen, who is said to have visited Prague in August and September did not leave or enter the United States during this time.
0016	Sean Spicer	We asked him to produce his passport to confirm his whereabouts on the dates in question and there was no doubt that he was not in Prague.
0017	Sean Spicer	In fact, Mr. Cohen has never been in Prague.
0018	Sean Spicer	A new report actually suggests that Michael Cohen was at  at the University of Southern California with his son at a baseball game.
0019	Sean Spicer	One report now suggested apparently it's another Michael Cohen.
0020	Sean Spicer	For all the talk lately about fake news, this political witch hunt by some in the media is based on some of the most flimsy reporting and is frankly shameful and disgraceful.
0021	Sean Spicer	With that, it is my honor to introduce the next vice president of the United States, Mike Pence.
0022	SYSTEM	[Applause]
0023	Mike Pence	We are nine days away from the inauguration of the 45th president of the United States of America.
0024	SYSTEM	[Applause]
0025	Mike Pence	I am profoundly honored and humbled that I will take the oath of office to serve as vice president of the United States nine days from today, but I'm even more honored to stand shoulder to shoulder with a new president who will make America great again.
0026	SYSTEM	[Applause]
0027	Mike Pence	Now, the presidentelect's leadership and his energy during the campaign was impressive.
0028	Mike Pence	But as the chairman of the transition effort, I can assure the American people that his energy and his vision during the course of this transition has been even more inspiring.
0029	Mike Pence	To see the way he has brought together men and women of extraordinary capability at a historic pace in this cabinet.
0030	Mike Pence	Nineteen of the 21 cabinet officials have been announced, nine committee hearings already scheduled, seven more soon to go on the books in the next several days and it is a  it is a compilation of men and women with an unprecedented caliber of leadership and background to help this administration move our nation forward.
0031	Mike Pence	Perhaps that's why there's been such a concerted effort by some in the mainstream media to delegitimize this election and to demean our incoming administration.
0032	Mike Pence	You know, I have long been a supporter of a free and independent press and I always will be.
0033	Mike Pence	But with freedom comes responsibility.
0034	Mike Pence	And the irresponsible decision of a few news organizations to run with a false and unsubstantiated report, when most news organizations resisted the temptation to propagate this fake news, can only be attributed to media bias and attempt to demean the presidentelect and our incoming administration and the American people are sick and tired of it.
0035	SYSTEM	[Applause]
0036	Mike Pence	But today, we'll get back to real news, to real facts and the real progress our incoming president has already made in reviving the American economy and assembling a team that will make America great again.
0037	Mike Pence	And we'll hear from the presidentelect about issues that are of paramount importance to the American people today.
0038	Mike Pence	So, it is my honor to introduce to all of you, my friend and the presidentelect of the United States of America, Donald Trump.
0039	SYSTEM	[Applause]
0040	Donald Trump	Thank you very much.
0041	Donald Trump	It's very familiar territory, news conferences, because we used to give them on an almost daily basis.
0042	Donald Trump	I think we probably maybe won the nomination because of news conferences and it's good to be with you.
0043	Donald Trump	We stopped giving them because we were getting quite a bit of inaccurate news, but I do have to say that  and I must say that I want to thank a lot of the news organizations here today because they looked at that nonsense that was released by maybe the intelligence agencies?
0044	Donald Trump	Who knows, but maybe the intelligence agencies which would be a tremendous blot on their record if they in fact did that.
0045	Donald Trump	A tremendous blot, because a thing like that should have never been written, it should never have been had and it should certainly never been released.
0046	Donald Trump	But I want to thank a lot of the news organizations for some of whom have not treated me very well over the years  a couple in particular  and they came out so strongly against that fake news and the fact that it was written about by primarily one group and one television station.
0047	Donald Trump	So, I just want to compliment many of the people in the room.
0048	Donald Trump	I have great respect for the news and great respect for freedom of the press and all of that.
0049	Donald Trump	But I will tell you, there were some news organizations with all that was just said that were so professional  so incredibly professional, that I've just gone up a notch as to what I think of you.
