0001	COOPER	And welcome back.
0002	COOPER	Were coming to you tonight from the Riverside Theater in downtown Milwaukee with the 360 townhall.
0003	COOPER	The three remaining Republican candidates campaigning hard with the primary here just a week away.
0004	COOPER	We heard so far from Senator Ted Cruz.
0005	COOPER	Right now the GOP frontrunner, New York businessman Donald Trump.
0006	SYSTEM	(APPLAUSE)
0007	TRUMP	Thank you.
0008	COOPER	Hey, how are you doing?
0009	COOPER	Nice to see you.
0010	TRUMP	Thank you very much.
0011	COOPER	Have a seat.
0012	TRUMP	Thank you.
0013	COOPER	So we got a lot of questions from the audience for you on a lot of policy issues.
0014	COOPER	I got to start off with some news of the day topics.
0015	COOPER	Your campaign manager, Corey Lewandowski charged with simple battery for grabbing a reporter by the arm.
0016	COOPER	Will he continue as your campaign manager?
0017	TRUMP	Yes, he will.
0018	TRUMP	I looked at the tape.
0019	TRUMP	I looked  it was my tape.
0020	TRUMP	It was at one of my places.
0021	TRUMP	I have great security and great security cameras.
0022	TRUMP	I gave the tape, and frankly, if you look at that, people have looked at it  in fact, I just left another area of Wisconsin, we had a whole big meeting with a whole group of people, big audience, tremendous audience, and theyre all shaking their heads, give me a break, give me a break.
0023	COOPER	Let me ask you, though
0024	TRUMP	The answer is yes.
0025	TRUMP	And by the way, speaking of something else, I watched Ted Cruz.
0026	TRUMP	His home state is not Florida.
0027	TRUMP	His home state is Texas.
0028	TRUMP	It may be Canada.
0029	SYSTEM	(LAUGHTER)
0030	TRUMP	But to the best of my knowledge, its Texas.
0031	TRUMP	So he made that  I was surprised you didnt correct him actually.
0032	COOPER	Let me ask you about Lewandowski.
0033	COOPER	Initially your campaign said this never happened, there was no video of it.
0034	COOPER	You came out and said you thought this person was, perhaps, making it up, this reporter.
0035	COOPER	Lewandowski, himself, tweeted saying, I never met this reporter, I never touched this person now the videotape shows he clearly did touch this person.
0036	COOPER	Whether or not you think it was battery or not
0037	TRUMP	Touch  I dont know what touch means.
0038	TRUMP	I looked
0039	COOPER	Well, he says I never touched this person.
0040	TRUMP	And then she says, oh, look, at my arm.
0041	SYSTEM	(CROSSTALK)
0042	COOPER	Did he mislead you at all?
0043	TRUMP	Not at all.
0044	TRUMP	No, not at all.
0045	TRUMP	Look, I didnt know we had all these security cameras all over.
0046	TRUMP	But the time I found out, I said, well, this is really wonderful, this exonerates him totally.
0047	TRUMP	Now
0048	SYSTEM	(CROSSTALK)
0049	TRUMP	(inaudible) would have happened (inaudible) went to the ground or something to the effect that she almost went to the ground.
0050	TRUMP	She was in pain.
0051	TRUMP	She went to the ground.
0052	TRUMP	When she found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.
0053	TRUMP	She didnt talk about it.
0054	COOPER	No, thats not true.
0055	COOPER	She says her story has remained exactly the same.
0056	COOPER	She was knocked a little bit off
0057	TRUMP	Oh really?
0058	TRUMP	Can I read this to you this then?
0059	COOPER	Yes, that she was knocked off balance but she remained standing.
0060	TRUMP	Do you mind if I read this to you?
0061	TRUMP	Do you mind if I read you her statement?
0062	SYSTEM	(APPLAUSE)
0063	TRUMP	I mean, give me a break.
0064	TRUMP	You know, the problem is everybody dumps people when theres, like, a sign of political incorrectness.
0065	TRUMP	Im just going to read, if I can find it
0066	COOPER	She said she was almost knocked off balance, but she remained standing.
0067	TRUMP	She said she was almost knocked off balance, right.
0068	TRUMP	Heres what she said.
0069	TRUMP	You want to read it?
0070	TRUMP	Or you want me to do it?
0071	TRUMP	Youre a professional announcer.
0072	TRUMP	Why dont you read it.
0073	TRUMP	The bottom part.
0074	SYSTEM	(LAUGHTER)
0075	TRUMP	The bottom.
0076	TRUMP	Now thats an exact quote from her prior to seeing the cameras, and now she says, oh, I better change my story, I guess.
0077	COOPER	This quote says, I was jolted backwards.
0078	COOPER	Someone had grabbed me tightly by the arm and yanked me down.
0079	COOPER	I almost knell fell to the ground but was able...
0080	TRUMP	Yanked you down.
0081	TRUMP	Did you see it?
0082	TRUMP	Did she almost fall to the ground, Anderson?
0083	COOPER	 was able to maintain my balance nonetheless.
0084	COOPER	I was shaken.
0085	COOPER	Campaign managers arent supposed to try to forcefully throw reporters to the ground.
0086	COOPER	No, she did not go down on the ground.
0087	TRUMP	Oh no, let me just say  look, before she knows  folks, look, Im a loyal person.
0088	TRUMP	Im going to be loyal to the country.
0089	TRUMP	Im going to be loyal to Wisconsin.
0090	TRUMP	We have to tell it like it is.
0091	TRUMP	It would be so easy for me to terminate this man, ruin his life, ruin his family.
0092	TRUMP	Hes got four beautiful children in New Hampshire, ruin his whole everything, and say youre fired.
0093	TRUMP	Okay?
0094	TRUMP	I fired many people, especially on The Apprentice.
0095	SYSTEM	(LAUGHTER)
0096	TRUMP	But look at what she says.
0097	TRUMP	Michelle Fields, who, by the way, is not a baby.
0098	TRUMP	OK?
0099	TRUMP	In her own worlds, exactly.
0100	TRUMP	I was jolted backwards. Well, shes standing there.
0101	TRUMP	Someone had grabbed me tightly by the arm. Tightly.
0102	TRUMP	And yanked me down. She wasnt yanked down.
0103	TRUMP	She was  like, she didnt even have any expression.
0104	TRUMP	If somebody in this audience gets whacked, or gets hurt, including me, you get hit a little bit.
0105	TRUMP	You go, ow.
0106	TRUMP	Theres no emotion.
0107	TRUMP	OK, wait a minute.
0108	TRUMP	I almost fell to the ground. I almost fell to the ground she didnt almost fall to the ground.
0109	TRUMP	He got in her way.
0110	TRUMP	And by the way, she was grabbing me!
0111	TRUMP	Am I supposed to press charges against her?
0112	TRUMP	Oh, my arm is hurting.
0113	TRUMP	Anderson, my arm is just killing me.
0114	TRUMP	Its never been the same.
0115	COOPER	Youve suggested you might 
0116	TRUMP	Excuse me, excuse me!
0117	TRUMP	I didnt suggest.
0118	COOPER	Oh, yeah, you did.
0119	TRUMP	I tweeted.
0120	TRUMP	No, no, I tweeted.
0121	COOPER	A tweet is a suggestion.
0122	TRUMP	Should I press charges?
0123	COOPER	Are you going to?
0124	TRUMP	Sure!
0125	TRUMP	I dont know.
0126	TRUMP	Maybe I should, right?
0127	TRUMP	Because you know what?
0128	SYSTEM	(LAUGHTER AND APPLAUSE)
0129	TRUMP	She was grabbing me.
0130	TRUMP	And just so you understand, she was off base because she went through the Secret Service.
0131	TRUMP	She had a pen in her hand which Secret Service is not liking because they dont know what it is, whether its a little bomb or 
0132	COOPER	So it doesnt concern you that initially Corey Lewandowski said I never touched her, and that turns out not to be true?
0133	TRUMP	I dont think he knew her.
0134	TRUMP	I mean, based on what I heard, I dont think he really even knew who she was.
0135	TRUMP	To the best of my knowledge, they really didnt know each other.
0136	TRUMP	Or he said he doesnt know her.
0137	TRUMP	But listen to this I almost fell to the ground, which is untrue, but was able to maintain my balance. She had no trouble with her balance because its right on tape.
0138	TRUMP	Nonetheless, I was shaken.
0139	TRUMP	Campaign managers arent supposed to try to forcefully throw reporters to the ground. She didnt go to the ground!
0140	TRUMP	She didnt even have an expression on her face.
0141	COOPER	Do you think this is politically motivated?
0142	TRUMP	It could be.
0143	TRUMP	I dont know.
0144	TRUMP	Look, Ill tell you what a friend of mine whos in law enforcement said to me, theres probably not a detective in the world that would have done what they did to him.
0145	TRUMP	I mean, people in Syria 
0146	COOPER	The state attorneys a Democrat.
0147	TRUMP	Excuse me, excuse me.
0148	TRUMP	Oh, really?
0149	TRUMP	Oh, Im shocked to hear that.
0150	TRUMP	You know,
0151	SYSTEM	(LAUGHTER)
0152	TRUMP	You know, people, are chopping off heads in the Middle East.
0153	TRUMP	Theyre drowning people in cages by 50s.
0154	TRUMP	Theyre drowning  heres a guy  she shouldnt have been touching me.
0155	TRUMP	Okay?
0156	TRUMP	And you saw that she did that.
0157	TRUMP	She was grabbing me.
0158	TRUMP	Twice.
0159	TRUMP	I looked at her.
0160	TRUMP	In fact, one of the great pictures is me going like this like, get away from me, who is this person?
0161	TRUMP	Okay?
0162	TRUMP	But my arm, its never been the same, folks.
0163	SYSTEM	(LAUGHTER)
0164	TRUMP	Never been the same.
0165	TRUMP	So let me just tell you, she went through Secret Service, boom.
0166	TRUMP	She grabbed me, and he really stepped in front of her.
0167	TRUMP	I didnt see the grab he stepped in front of her.
0168	TRUMP	She wasnt supposed to be asking questions because the press conference lasted for 45 minutes, and all questions were done.
0169	TRUMP	And I was walking rapidly outside.
0170	COOPER	But this is the second time Lewandowski has touched somebody.
0171	COOPER	He did this to a protester, he grabbed a guy by the collar.
0172	COOPER	Something which you actually backed him up on And you said 
0173	TRUMP	I back people up.
0174	TRUMP	And I back up (INAUDIBLE).
0175	TRUMP	Did you see what he did?
0176	TRUMP	Did you see what he did?
0177	COOPER	I did.
0178	COOPER	In fact, theres the video right there.
0179	TRUMP	Did you see the sign the protester was holding?
0180	COOPER	No I didnt.
0181	TRUMP	Did you see what was on that sign?
0182	COOPER	No, I didnt.
0183	TRUMP	Do me a favor.
0184	TRUMP	Take a look at what was on the sign.
0185	SYSTEM	(CROSSTALK)
0186	COOPER	But should your campaign manager be laying hands on anybody?
0187	TRUMP	Excuse me.
0188	TRUMP	Did you see the protester grabbing the woman in front of him?
0189	TRUMP	With his hands on her neck?
0190	COOPER	No.
0191	TRUMP	OK. Take a look.
0192	TRUMP	You know what he did?
0193	TRUMP	He had his shirt with two fingers like this, and then he let go because security was behind him, and they took off.
0194	COOPER	Your opponents are suggesting, on the Republican side, are suggesting that this says something about your leadership, that youre condoning this kind of thing 
0195	TRUMP	Oh, I think my leadership is very good.
0196	TRUMP	Ive watched Ted Cruz, I watched him.
0197	TRUMP	He didnt even know what state he comes from, OK?
0198	TRUMP	I watched him talking about he comes from the state of Florida.
0199	TRUMP	Fort Hood is in Texas, by the way.
0200	TRUMP	But if you see what he said.
0201	TRUMP	I dont know.
0202	TRUMP	Im so surprised with him, Anderson, that you let him get away with that.
0203	TRUMP	But Ill tell you what.
0204	TRUMP	You just take a look  you just take a look at whats going on.
0205	TRUMP	I stick up for people when theyre right.
0206	TRUMP	I would have loved to have fired  it would have been much easier than talking to you about this all night long.
0207	TRUMP	Id rather talk about the issues, to be honest.
0208	TRUMP	But I stick up 
0209	SYSTEM	(APPLAUSE)
0210	TRUMP	Right?
0211	TRUMP	I stick up for people when people are unjustly accused.
0212	TRUMP	And in my opinion, unjustly accused.
0213	TRUMP	Shes grabbing me.
0214	TRUMP	He walks in to stop it.
0215	TRUMP	She walked through Secret Service.
0216	TRUMP	She had a pen in her hand, which could have been a knife, it could have been just a pen, which is very dangerous.
0217	TRUMP	She should not have been doing that.
0218	TRUMP	And she didnt fall to the ground.
0219	TRUMP	She wasnt dragged to the ground and all of the things that she said, Anderson.
0220	TRUMP	I stick up for people, and I dont want to ruin somebodys life.
0221	TRUMP	It would have been very easy for me to do so.
0222	TRUMP	You know, when I owned Miss Universe, I had the case of the young woman who was very unjustly accused by somebody that you know very well.
0223	TRUMP	And I gave her a second chance.
0224	TRUMP	And Im very proud of her.
0225	TRUMP	She had a tremendous substance abuse problem and Im very  Tara, Im very, very proud of her.
0226	TRUMP	Im very proud of the job she did.
0227	COOPER	I want to ask you about another tweet you sent.
0228	COOPER	You sent a tweet over the weekend about the death toll in this horrible terror attack in Pakistan over the weekend.
0229	TRUMP	Right.
0230	COOPER	You talked about the death toll.
