0001	LESLEY STAHL	Do you still think that climate change is a hoax?
0002	TRUMP	I think something's happening.
0003	TRUMP	Something's changing and it'll change back again.
0004	TRUMP	I don't think it's a hoax, I think there's probably a difference.
0005	TRUMP	But I don't know that it's manmade.
0006	TRUMP	I will say this.
0007	TRUMP	I don't wanna give trillions and trillions of dollars.
0008	TRUMP	I don't wanna lose millions and millions of jobs.
0009	TRUMP	I don't wanna be put at a disadvantage.
0010	LESLEY STAHL	I wish you could go to Greenland, watch these huge chunks of ice just falling into the ocean, raising the sea levels.
0011	TRUMP	And you don't know whether or not that would have happened with or without man.
0012	TRUMP	You don't know.
0013	LESLEY STAHL	Well, your scientists, your scientists
0014	TRUMP	No, we have
0015	LESLEY STAHL	At NOAA and NASA
0016	TRUMP	We have scientists that disagree with that.
0017	LESLEY STAHL	You know, I was thinking what if he said, "No, I've seen the hurricane situations, I've changed my mind. There really is climate change."
0018	LESLEY STAHL	And I thought, "Wow, what an impact."
0019	TRUMP	Well I'm not denying.
0020	LESLEY STAHL	What an impact that would make.
0021	TRUMP	I'm not denying climate change.
0022	TRUMP	But it could very well go back.
0023	TRUMP	You know, we're talkin' about over a millions
0024	LESLEY STAHL	But that's denying it.
0025	TRUMP	of years.
0026	TRUMP	They say that we had hurricanes that were far worse than what we just had with Michael.
0027	LESLEY STAHL	Who says that?
0028	LESLEY STAHL	They say?
0029	TRUMP	People say.
0030	TRUMP	People say that in the
0031	LESLEY STAHL	Yeah, but what about the scientists who say it's worse than ever?
0032	TRUMP	You'd have to show me the scientists because they have a very big political agenda, Lesley.
0033	LESLEY STAHL	I can't bring them in.
0034	TRUMP	Look, scientists also have a political agenda.
0035	LESLEY STAHL	Jamal Khashoggi, the journalist
0036	TRUMP	Yes.
0037	TRUMP	Yes.
0038	LESLEY STAHL	the Saudi journalist, was he murdered by the Saudis?
0039	LESLEY STAHL	And did the prince give the order to kill him?
0040	TRUMP	Nobody knows yet, but we'll probably be able to find out.
0041	TRUMP	It's being investigated.
0042	TRUMP	It's being looked at very, very strongly.
0043	TRUMP	And we would be very upset and angry if that were the case.
0044	TRUMP	As of this moment, they deny it.
0045	TRUMP	And den deny it vehemently.
0046	TRUMP	Could it be them?
0047	TRUMP	Yes.
0048	LESLEY STAHL	Jared, your soninlaw.
0049	LESLEY STAHL	Got on the phone and asked the prince.
0050	LESLEY STAHL	Did he deny it?
0051	LESLEY STAHL	Did he
0052	TRUMP	They deny it.
0053	TRUMP	They deny it every way you can imagine.
0054	TRUMP	In the nottoodistant future, I think we'll know an answer.
0055	LESLEY STAHL	What are you options?
0056	LESLEY STAHL	Let's say they did.
0057	LESLEY STAHL	What are your options?
0058	LESLEY STAHL	Would you consider imposing sanctions, as a bipartisan group of senators have proposed?
0059	TRUMP	Well, it depends on what the sanction is.
0060	TRUMP	I'll give ya an example.
0061	TRUMP	They are ordering military equipment.
0062	TRUMP	Everybody in the world wanted that order.
