0001	Julie Pace	I do want to talk to you about the 100 days.
0002	Donald Trump	Good.
0003	Julie Pace	I want to ask a few questions on some topics that are happening toward the end of the interview. Did you see Aya
0004	SYSTEM	[Hijazi, an EgyptianAmerican charity worker who had been detained in the country for nearly three years]
0005	Julie Pace	...
0006	Julie Pace	Can you tell me a little bit about how that came about?
0007	Donald Trump	No, just  you know, I asked the government to let her out...
0008	Donald Trump	You know Obama worked on it for three years, got zippo, zero.
0009	Julie Pace	How did you hear about this story?
0010	Donald Trump	Many people, human rights people, are talking about it.
0011	Donald Trump	It's an incredible thing, especially when you meet her.
0012	Donald Trump	You realize  I mean, she was in a rough place. Did you have to strike a deal with
0013	SYSTEM	[AbdelFattah]
0014	Donald Trump	elSissi over this?
0015	Donald Trump	No.
0016	Donald Trump	No deal.
0017	Donald Trump	He was here.
0018	Donald Trump	He  I said, "I really would appreciate it if you would look into this and let her out."
0019	Donald Trump	And as you know, she went through a trial.
0020	Donald Trump	And anyway, she was let go.
0021	Donald Trump	And not only she, it was a total of eight people... Yeah, it's funny One of the best chemistries I had was with
0022	SYSTEM	[Angela]
0023	Donald Trump	Merkel.
0024	Donald Trump	[Crosstalk
0025	Julie Pace	Really?
0026	Donald Trump	Chancellor Merkel.
0027	Donald Trump	And I guess somebody shouted out, "Shake her hand, shake her hand," you know.
0028	Donald Trump	But I never heard it.
0029	Donald Trump	But I had already shaken her hand four times.
0030	Donald Trump	You know, because we were together for a long time.
0031	Julie Pace	Did you expect you would have good chemistry with her?
0032	Donald Trump	No.
0033	Donald Trump	Because, um, I'm at odds on, you know, the NATO payments and I'm at odds on immigration.
0034	Donald Trump	We had unbelievable chemistry.
0035	Donald Trump	And people have given me credit for having great chemistry with all of the leaders, including elSissi...
0036	Donald Trump	So it was a great thing to see that happen.
0037	Julie Pace	Do you feel like you have changed the office of the presidency, how the presidency can be used to effect change?
0038	Donald Trump	I think the 100 days is, you know, it's an artificial barrier.
0039	Donald Trump	It's not very meaningful.
0040	Donald Trump	I think I've established amazing relationships that will be used the four or eight years, whatever period of time I'm here.
0041	Donald Trump	I think for that I would be getting very high marks because I've established great relationships with countries, as President elSissi has shown and others have shown.
0042	Donald Trump	Well, if you look at the president of China, people said they've never seen anything like what's going on right now.
0043	Donald Trump	I really liked him a lot.
0044	Donald Trump	I think he liked me.
0045	Donald Trump	We have a great chemistry together...
0046	Donald Trump	I've developed great relationships with all of these leaders.
0047	Donald Trump	Nobody's written that.
