0001	Ainsley Earhardt	Well, here's the presidential seal.
0002	Ainsley Earhardt	There is the White House and inside the White House is the President of the United States, Donald Trump.
0003	Brian Kilmeade	And why would you be bringing that up, Ainsley?
0004	Ainsley Earhardt	He joins us now by phone.
0005	Ainsley Earhardt	Thank you so much for being with us, Mr. President.
0006	Donald Trump	Well, good morning, and I picked a very, very special day because it's Melania's birthday, so I said let's do it on Melania's birthday.
0007	Donald Trump	So, happy birthday to Melania.
0008	Brian Kilmeade	All right.
0009	Brian Kilmeade	Hopefully, they'll be visits in between but have you decided on or do you want to tell us what you got her?
0010	Donald Trump	Well, I better not get into that because I may get in trouble.
0011	Donald Trump	Maybe I didn't get her so much.
0012	Donald Trump	I'll tell you what.
0013	Donald Trump	She has done  a got her a beautiful card.
0014	Donald Trump	You know, I'm very busy 
0015	Brian Kilmeade	At this point 
0016	Donald Trump	 to be running out looking for presents, OK?
0017	Donald Trump	But I got her a beautiful card and some beautiful flowers.
0018	Donald Trump	And she did a fantastic job with France.
0019	Donald Trump	I'll tell you what, the people of France are just  were spellbound by what happened with their great president who just left, Emmanuel, and he is a wonderful guy and 
0020	Steve Doocy	You guys really got along great.
0021	Donald Trump	 with a wonderful wife.
0022	Donald Trump	Well, we did and 
0023	Steve Doocy	You guys got along great.
0024	Donald Trump	We did and, you know, they are both terrific people.
0025	Donald Trump	And, Brigitte  and we had a fantastic time.
0026	Donald Trump	And much more importantly, we accomplished a lot.
0027	Donald Trump	We really accomplished a lot.
0028	Donald Trump	More than anybody knows.
0029	Donald Trump	You'll be seeing what we accomplished.
0030	Steve Doocy	Well, give us a hint.
0031	Steve Doocy	Give us a hint.
0032	Donald Trump	Well, I think we really came to recognize the  you know, I can say it from my standpoint but he is viewing, I believe, Iran a lot differently than he did before he walked into the Oval Office and I think that's important.
0033	Donald Trump	He understands where I'm coming from with respect to Iran.
0034	Donald Trump	Iran is a real problem for this country.
0035	Donald Trump	The president made a horrible deal.
0036	Donald Trump	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.
0037	Donald Trump	It's inconceivable  $1.8 billion.
0038	Donald Trump	And all they do is scream death to America, death to America.
0039	Donald Trump	And by the way, they're not screaming it so much anymore.
0040	Donald Trump	They were screaming it with him.
0041	Donald Trump	They don't scream it with me.
0042	Donald Trump	We haven't seen their little boats circling our ships in the ocean lately because they know if they do circle the ships they're not going to be there very longer.
0043	Brian Kilmeade	All right, I want to come back to that a little later because we do want to see if that  because you have a big deadline coming up with the Iranian agreement.
0044	Donald Trump	I do.
0045	Brian Kilmeade	But 
0046	Donald Trump	I do.
0047	Brian Kilmeade	 when it comes to Ronny 
0048	Steve Doocy	Your call.
0049	Brian Kilmeade	 Jackson, the word came out from John Roberts 
0050	Donald Trump	Yes.
0051	Brian Kilmeade	 now confirmed that he is no longer going to be a candidate to lead the V.A.
0052	Brian Kilmeade	In his statement is this.
0053	Brian Kilmeade	The allegations against me are completely false and fabricated.
0054	Brian Kilmeade	If they had any merit, I would not have been selected, promoted, and trusted to serve in such a sensitive and important role as physician to three presidents over 12 years.
0055	Brian Kilmeade	In my role as a doctor, I have tirelessly worked to provide excellent care for all my patients.
0056	Brian Kilmeade	In doing so, I have always adhered to the highest ethical standards.
0057	Brian Kilmeade	Last night the report was you had a huddle.
0058	Brian Kilmeade	Is that what you decided last night?
0059	Brian Kilmeade	Is that what all of you decided?
0060	Donald Trump	Well, I even told him a day or two ago.
0061	Donald Trump	I saw where this was going.
0062	Donald Trump	And, you know, they're very upset because Mike Pompeo who was again, first in his class at West Point, top in his class at Harvard Law School.
0063	Donald Trump	A brilliant guy, a great guy, and somebody I get along with very well.
0064	Donald Trump	You know, Mike got through and they thought they had him stopped.
0065	Donald Trump	The Democrats are obstructionists.
0066	Donald Trump	It's horrible what they're doing.
0067	Donald Trump	They're not approving people.
0068	Donald Trump	They're taking them out to the maximum 30 hours.
0069	Donald Trump	That's a lot of time  30 hours  to interview people that are going to be approved.
0070	Donald Trump	I mean, they go 30 hours and then people will vote, and it's a disgrace.
0071	Donald Trump	In fact, they had a report the other day that at this rate it will be nine years before 
0072	Steve Doocy	It's unbelievable.
0073	Donald Trump	 they're allowed to come into government.
0074	Donald Trump	So you have that have given up everything.
0075	Donald Trump	They've given up their jobs.
0076	Donald Trump	Topline people  brilliant people.
0077	Donald Trump	They want to come in and help us in government and Chuck Schumer and the group take, you know, years to approve them  years.
0078	Donald Trump	We have judges that are waiting.
0079	Donald Trump	Top of the line people.
0080	Donald Trump	The best people in our country and 
0081	Donald Trump	And by the way, they're going to be approved but they take them out until the very, very end.
0082	Donald Trump	And they said over nine years before they get approved 
0083	Brian Kilmeade	Mr. President 
0084	Donald Trump	 because they're using every little trick in the book.
0085	Brian Kilmeade	 Mitch McConnell could keep them seven days a week until they reach their 30 hours and make them, these men and women, stay until this gets done.
0086	Brian Kilmeade	Why won't he do that?
0087	Donald Trump	Well, he should be doing that and I think he will be doing that.
0088	Donald Trump	And he should be doing that.
0089	Donald Trump	Honestly, the Republicans  look, we have some absolute warriors.
0090	Donald Trump	We have  when I  I just watched your show.
0091	Donald Trump	Jim Jordan, and Mark Meadows, and Matt Gaetz, and DeSantis, and so many  Corey Lewandowski.
0092	Donald Trump	We have people  Diamond and Silk are warriors, by the way.
0093	Donald Trump	How about Diamond and Silk?
0094	Donald Trump	They've become amazing.
0095	Donald Trump	You know, that started off like somebody was talking about them on the Internet.
0096	Donald Trump	They were these two women  these two beautiful, wonderful, women.
0097	Donald Trump	And I said well, let me check it out.
0098	Donald Trump	It took me about two seconds to say start them  it's incredible.
0099	Donald Trump	So, Diamond and Silk, these are all warriors.
0100	Donald Trump	We have great people in the Republican Party and I think that, in one way, it's showing how bad, how obstructionist these Democrats are.
0101	Donald Trump	It's a disgrace what's happening.
0102	Ainsley Earhardt	Do you think the obstructionist window  as Dr. Jackson says, these allegations are baseless and they're just attacking him?
0103	Ainsley Earhardt	This is not true, he served our country but yet, he's still withdrawing his name.
0104	Ainsley Earhardt	So does the obstructionist win when your nominees don't fight back?
0105	Donald Trump	Well, I could say yes.
0106	Donald Trump	I can also say no because Doc Ronny  you know, we call him Doc Ronny, we call him Admiral Ronny.
0107	Donald Trump	He's an admiral, highly respected, a real leader.
0108	Donald Trump	And I watched what Jon Tester of Montana, a state that I won by like over 20 points.
0109	Donald Trump	You know, really, they love me and I love them.
0110	Donald Trump	And I want to tell you that Jon Tester  I think this is going to cause him a lot of problems in his state.
0111	Donald Trump	He took a man who was just an incredible man  an incredible man respected by President Obama.
0112	Donald Trump	He gave him his highest rating.
0113	Donald Trump	You saw what President Obama said.
0114	Steve Doocy	Yes.
0115	Donald Trump	President Bush  he was the doctor to President Bush, to President Obama and the family.
0116	Donald Trump	He's been my doctor.
0117	Donald Trump	And he runs a fantastic operation.
0118	Donald Trump	You know, they have many doctors and they run a fantastic operation.
0119	Donald Trump	And honestly, I said it to him.
0120	Donald Trump	He didn't come to me.
0121	Donald Trump	I said, you know, Doc, you run a great operation.
0122	Donald Trump	How do you think you'd do at the V.A.
0123	Donald Trump	?
0124	Donald Trump	Now, we can talk about experience but the V.A.
0125	Donald Trump	 when you think about 13 million people 
0126	Steve Doocy	Sure.
0127	Donald Trump	 you could take the head of the biggest hospital corporation of the world and it's peanuts compared to the V.A., so nobody has experience, you know.
0128	Donald Trump	It's a big monster.
0129	Donald Trump	And I'm really proud of the job we've done for the V.A.
0130	Donald Trump	because we got  we're working right now on Choice and really big  but we got rid of so many rules and regulations that made it impossible and we're really doing great at the V.A.
0131	Steve Doocy	Right.
0132	Donald Trump	But I want somebody that's going to be great.
0133	Donald Trump	He would've done a great job 
0134	Steve Doocy	Did 
0135	Donald Trump	He's got a tremendous heart.
0136	Steve Doocy	Any idea who you might 
0137	Donald Trump	You know, these are all false accusations that were made.
0138	Donald Trump	These are false and they're trying to destroy a man.
0139	Donald Trump	By the way, I did say welcome to Washington.
0140	Donald Trump	Welcome to the swamp.
0141	Donald Trump	Welcome to the world of politics.
0142	Brian Kilmeade	Sure.
0143	Donald Trump	But for Jon Tester to start bringing up stuff like candy man and the kind of things he was saying, and then say well, you know, these are just statements that are made.
0144	Steve Doocy	Right.
0145	Donald Trump	There's no proof of this.
0146	Donald Trump	And he has a perfect record.
0147	Donald Trump	He's got this beautiful record unblemished.
0148	Donald Trump	His son is a wonderful boy.
0149	Donald Trump	Goes to Annapolis, at the top of his class.
0150	Donald Trump	One of the finest cadets.
0151	Donald Trump	For him to be doing this to this man and this family, I think Jon Tester has to have a big price to pay in Montana because I don't think people in Montana  the admiral is the kind of person that they respect and admire and they don't like seeing what's happened to him.
0152	Steve Doocy	Well, the admiral has officially thrown in the towel.
0153	Steve Doocy	Any idea who you might nominate next?
0154	Donald Trump	I do, actually, but I better not give it.
0155	Donald Trump	Maybe we'll do it on my next call.
0156	Donald Trump	I do  I think we're going to have somebody great.
0157	Steve Doocy	All right.
0158	Donald Trump	Somebody that's more  you know, look, the admiral is not a politician which is what I liked, by the way.
0159	Steve Doocy	Is your nominee somebody in politics right now?
0160	Donald Trump	Somebody with political capability, yes.
0161	Steve Doocy	All right.
0162	Steve Doocy	Meanwhile, let's talk a little bit about your former FBI director James Comey, who you fired.
0163	Donald Trump	Right.
0164	Steve Doocy	He was on T.V.
0165	Steve Doocy	last night.
0166	Steve Doocy	He said 
0167	Donald Trump	I did a great thing for the American people by firing him.
0168	Steve Doocy	Well, he says he's not a leaker.
0169	Steve Doocy	He disputed what Anderson Cooper had said.
0170	Steve Doocy	But what's interesting is we've learned through Catherine Herridge's reporting is that apparently the guy he gave the secret memos to, Dr. Richman at Columbia University  he had this special government employee status where he had  you know, he could look at secrets.
0171	Steve Doocy	He had a badge to the building.
0172	Steve Doocy	And also, apparently, the memos were leaked to a wider group of people or at least two, maybe three, including former U.S. attorney Patrick Fitzgerald.
0173	Steve Doocy	Your opinion on what Mr. Comey is doing on his book tour and the fact that he had a special friend at Columbia University with an FBI badge.
0174	Donald Trump	Look, Comey is a leaker and he's a liar and not only on this stuff.
0175	Donald Trump	He's been leaking for years.
0176	Donald Trump	He's probably been using his friend, the socalled professor who now turns out to have FBI clearance, which he never said.
0177	Donald Trump	He even lied about that because he never said that in Congress.
0178	Donald Trump	He said he gave it to a friend and he gave it to a friend to leak classified information.
0179	Donald Trump	It's all classified.
0180	Donald Trump	It was totally classified.
0181	Donald Trump	So illegally  he did an illegal act and he said it himself in order to get a special counsel against me.
0182	Donald Trump	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.
0183	Donald Trump	There's no collusion with me and the Russians.
0184	Donald Trump	Nobody's been tougher to Russia 
0185	Brian Kilmeade	Right.
0186	Donald Trump	 than I am.
