0001	Donald Trump	Look, he's a showboat.
0002	Donald Trump	He's a grandstander.
0003	Donald Trump	The FBI has been in turmoil.
0004	Donald Trump	You know that.
0005	Donald Trump	I know that.
0006	Donald Trump	Everybody knows that.
0007	Donald Trump	You take a look at the FBI a year ago, it was in virtual turmoil.
0008	Donald Trump	Less than a year ago.
0009	Donald Trump	It hasn't recovered from that.
0010	Lester Holt	Monday, you met with the Deputy Attorney General Rob Rosenstein.
0011	Lester Holt	Did you ask for a recommendation? What I did is, was I going to fire
0012	SYSTEM	[James]
0013	Lester Holt	Comey.
0014	Donald Trump	My decision.
0015	Donald Trump	It was not...
0016	Lester Holt	You had made the decision before they came over...
0017	Donald Trump	I...
0018	Donald Trump	I was going to fire Comey.
0019	Donald Trump	There is no good time to do it by the way.
0020	Donald Trump	They...
0021	Lester Holt	Because in your letter you said I...
0022	Lester Holt	I accepted...
0023	Lester Holt	I accepted their recommendation.
0024	Lester Holt	So, you had already made the decision.
0025	Donald Trump	Oh, I was going to fire regardless of recommendation. So there
0026	SYSTEM	[inaudible]
0027	Donald Trump	He made a recommendation He is highly respected.
0028	Donald Trump	Very good guy.
0029	Donald Trump	Very smart guy.
0030	Donald Trump	The Democrats like him.
0031	Donald Trump	The Republicans like him.
0032	Donald Trump	He made a recommendation, but regardless of recommendation I was going to fire Comey, knowing there was no good time to do it.
0033	Donald Trump	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a madeup story.
0034	Donald Trump	It's an excuse by the Democrats having lost an election that they should have won.
0035	Donald Trump	And the reason they should have won it is, the electoral college is almost impossible for a Republican to win.
0036	Donald Trump	Very hard.
0037	Donald Trump	Because you start off at such a disadvantage.
0038	Donald Trump	So, everybody was thinking they should have won the election.
0039	Donald Trump	This was an excuse for having lost an election.
0040	Lester Holt	Are you angry with Mr. Comey because of his Russia investigation?
0041	Donald Trump	I just want somebody that's competent.
0042	Donald Trump	I am a big fan of the FBI.
0043	Donald Trump	I love the FBI.
0044	Donald Trump	I love the people of the FBI.
0045	Donald Trump	but when you have a land of people taking on that investigation I think that.
0046	Lester Holt	But were you a fan of him taking up that investigation?
0047	Donald Trump	I think that... about the Hillary Clinton investigation?
0048	Lester Holt	No, about the Russia investigation and possible links between...
0049	Donald Trump	No, I don't care... look, look, let me tell you.
