0001	Donald Trump	Wow, that is so beautiful.
0002	Donald Trump	Thank you.
0003	Donald Trump	What a great song, too, by the way.
0004	Donald Trump	Do we like that song?
0005	Donald Trump	I think so.
0006	Donald Trump	I think so.
0007	Donald Trump	I'd like to use it all the time, but it only seems to work well in West Virginia, right?
0008	Donald Trump	So I am thrilled to be back with all of my friends in the great state of West Virginia.
0009	Donald Trump	Thank you.
0010	Donald Trump	This was a big victory.
0011	Donald Trump	We won by 42 points.
0012	Donald Trump	That's pretty big, right?
0013	Donald Trump	Fortytwo points over a Democrat, right, over a Democrat.
0014	Donald Trump	They didn't do too well.
0015	Donald Trump	And the people of West Virginia, they're loyal, they're hardworking, they're true American patriots.
0016	Donald Trump	Remember that.
0017	Donald Trump	They are great people.
0018	Donald Trump	They're my friends.
0019	SYSTEM	[Audience member calls "We Love You"]
0020	Donald Trump	Thank you very much.
0021	Donald Trump	I love you too  guy.
0022	Donald Trump	It's a guy, but I love you, too.
0023	Donald Trump	You're proud of our country, you're proud of our history.
0024	Donald Trump	And unlike the NFL, you always honor and cherish our great American flag.
0025	Donald Trump	It was just announced by ESPN that rather than defending our anthem, our beautiful, beautiful national anthem, and defending our flag, they've decided that they just won't broadcast when they play.
0026	Donald Trump	We don't like that.
0027	Donald Trump	So while the players are kneeling, some of them, not all of them at all, you're all proudly standing for our national anthem.
0028	Donald Trump	Thank you.
0029	Donald Trump	The ESPN thing was terrible, just came out.
0030	Donald Trump	Under our administration, America is winning again and America is being respected again all over the world.
0031	Donald Trump	It's America First.
0032	Donald Trump	This is the greatest economy that we've had in our history, the best.
0033	Donald Trump	Our steel mills are back.
0034	Donald Trump	They're roaring back.
0035	Donald Trump	We're making steel again.
0036	Donald Trump	United States Steel announced a massive infusion of cash.
0037	Donald Trump	They're opening up seven different plants.
0038	Donald Trump	Other steel companies all over the country, they're opening up plants.
0039	Donald Trump	People said steel will never be back.
0040	Donald Trump	Steel is back.
0041	Donald Trump	It's one of the hottest industries in our country because of what we've done with our tariffs.
0042	Donald Trump	They were dumping steel all over our country.
0043	Donald Trump	They were destroying our business.
0044	Donald Trump	They're not dumping so much anymore.
0045	Donald Trump	And if they do, they're paying a lot.
0046	Donald Trump	Our military will soon be stronger than it's ever been before.
0047	Donald Trump	We're taking care of our amazing veterans.
0048	Donald Trump	And I know this doesn't matter to you, but we are putting our great coal miners back to work.
0049	Donald Trump	Great people, great people, brave people, I don't know how the hell you do that.
0050	Donald Trump	I'll tell you.
0051	Donald Trump	You guys have a lot of courage but we love clean, beautiful, West Virginia coal.
0052	Donald Trump	We love it, right?
0053	Donald Trump	And you know that's indestructible stuff.
0054	Donald Trump	In times of war, in times of conflict, you can blow up those windmills.
0055	Donald Trump	They fall down real quick.
0056	Donald Trump	You can blow up those pipelines.
0057	Donald Trump	They go like this and you're not going to fix them too fast.
0058	Donald Trump	You can do a lot of things to those solar panels.
0059	Donald Trump	But you know what?
0060	Donald Trump	You can't hurt coal.
0061	Donald Trump	You can do whatever you want to coal, very important.
0062	Donald Trump	And we are working now on a military plan that's got to be something very special.
0063	Donald Trump	So I'm honored tonight to have a friend of mine.
0064	Donald Trump	He was a Democrat.
0065	Donald Trump	And I don't want to say because of me, let's say it's because of policy, he decided to become a Republican and he's a great Republican.
0066	Donald Trump	And I want to bring him up if I could.
0067	Donald Trump	Can I bring up your governor?
0068	Donald Trump	He is the largest, most beautiful man.
0069	Donald Trump	Governor Big Jim Justice.
0070	Jim Justice	OK.
0071	Jim Justice	I deputized you, did I not?
0072	Jim Justice	The other thing I know, you as West Virginians are appreciative people.
0073	Jim Justice	Now just think, we know what this great man right beside me has done for us.
0074	Jim Justice	Now let me say this it's time for us to show that appreciation and deliver back.
0075	Jim Justice	We have to reelect our House members and we cannot, whatever we do, to God above, we cannot put Ojeda on this man.
0076	Jim Justice	But it goes further than that.
0077	Jim Justice	Patrick Morrisey is a little behind right now.
0078	Jim Justice	He needs you.
0079	Jim Justice	He needs all of you.
